20.04	-100.9	0.0 5.8
20.74	-100.9	0.0 5.8
21.45	-100.9	0.0 5.8
22.15	-100.9	0.0 5.8
22.85	-100.9	0.0 5.8
23.55	-100.9	0.0 5.8
24.26	-100.9	0.0 5.8
24.96	-100.9	0.0 5.8
5.27	-100.2	0.0 5.8
5.98	-100.2	0.0 5.8
6.68	-100.2	0.0 5.8
7.38	-100.2	0.0 5.8
8.09	-100.2	0.0 5.8
8.79	-100.2	0.0 5.8
9.49	-100.2	0.0 5.8
10.2	-100.2	0.0 5.8
10.9	-100.2	0.0 5.8
11.6	-100.2	0.0 5.8
12.3	-100.2	0.0 5.8
13.01	-100.2	0.0 5.8
13.71	-100.2	0.0 5.8
14.41	-100.2	0.0 5.8
15.12	-100.2	0.0 5.8
15.82	-100.2	0.0 5.8
16.52	-100.2	0.0 5.8
17.23	-100.2	0.0 5.8
17.93	-100.2	0.0 5.8
18.63	-100.2	0.0 5.8
19.34	-100.2	0.0 5.8
20.04	-100.2	0.0 5.8
20.74	-100.2	0.0 5.8
21.45	-100.2	0.0 5.8
22.15	-100.2	0.0 5.8
22.85	-100.2	0.0 5.8
23.55	-100.2	0.0 5.8
24.26	-100.2	0.0 5.8
24.96	-100.2	0.0 5.8
5.27	-99.49	0.0 5.8
5.98	-99.49	0.0 5.8
6.68	-99.49	0.0 5.8
7.38	-99.49	0.0 5.8
8.09	-99.49	0.0 5.8
8.79	-99.49	0.0 5.8
9.49	-99.49	0.0 5.8
10.2	-99.49	0.0 5.8
10.9	-99.49	0.0 5.8
11.6	-99.49	0.0 5.8
12.3	-99.49	0.0 5.8
13.01	-99.49	0.0 5.8
13.71	-99.49	0.0 5.8
14.41	-99.49	0.0 5.8
15.12	-99.49	0.0 5.8
15.82	-99.49	0.0 5.8
16.52	-99.49	0.0 5.8
17.23	-99.49	0.0 5.8
17.93	-99.49	0.0 5.8
18.63	-99.49	0.0 5.8
19.34	-99.49	0.0 5.8
20.04	-99.49	0.0 5.8
20.74	-99.49	0.0 5.8
21.45	-99.49	0.0 5.8
22.15	-99.49	0.0 5.8
22.85	-99.49	0.0 5.8
23.55	-99.49	0.0 5.8
24.26	-99.49	0.0 5.8
24.96	-99.49	0.0 5.8
5.27	-98.79	0.0 5.8
5.98	-98.79	0.0 5.8
6.68	-98.79	0.0 5.8
7.38	-98.79	0.0 5.8
8.09	-98.79	0.0 5.8
8.79	-98.79	0.0 5.8
9.49	-98.79	0.0 5.8
10.2	-98.79	0.0 5.8
10.9	-98.79	0.0 5.8
11.6	-98.79	0.0 5.8
